id,title,agency,category,amount,city,eligible_identity,min_age,max_age,income_limit,housing_status,family_status,description,apply_url,source_url,updated_at
kindergarten-subsidy,幼兒園學費補助,教育部,育兒生育,$5000（每月最高補助）,全國,一般民眾,0,0,一般,,,就讀公私立幼兒園費用補助（2.5-6歲）；子女年齡2歲半至入國小前；就讀立案幼兒園；未接受其他托育補助,https://www.ece.moe.edu.tw/,https://www.ece.moe.edu.tw/,2026-05-09
after-school-care,課後照顧補助,各地方政府,育兒生育,$2000（每月最高補助）,全國,一般民眾,0,0,一般,,,國小學童課後托育費用補助；就讀國民小學一至六年級；使用合格課後照顧服務；所得符合優先資格,前往各縣市教育局申請,前往各縣市教育局申請,2026-05-09
relative-care-subsidy,親屬托育補助,各地方政府,育兒生育,$3000（每月補助）,全國,有子女者,0,0,一般,,有子女,委託3親等以內親屬照顧幼兒可領補助；子女未滿2歲；委託3親等親屬照顧；雙方均需為本國籍；照顧者完成托育訓練,前往各縣市社會局申請,前往各縣市社會局申請,2026-05-09
special-needs-child,發展遲緩兒童補助,各地方政府,育兒生育,$1200（每月療育交通補助）,全國,一般民眾,0,0,一般,,,0-6歲發展遲緩兒童療育費用補助；領有早期療育通報單；未滿7歲；接受早療課程或治療；由醫院或早療機構開立,前往各縣市早療通報轉介中心,前往各縣市早療通報轉介中心,2026-05-09
second-child-bonus,第二胎以上生育獎勵,各地方政府,育兒生育,依縣市而定（各縣市不同）,全國,有子女者,0,0,一般,,有子女,縣市政府提供第二胎以上生育獎勵金；設籍於補助縣市；生育第二胎以上；子女具台灣戶籍；符合所得限制（部分縣市無限制）,前往戶籍所在地縣市政府社會局,前往戶籍所在地縣市政府社會局,2026-05-09
unemployment-benefit,失業給付,勞動部,就業,$17928（每月（投保薪資60%））,全國,一般民眾,0,0,一般,,,非自願離職者可請領失業給付最長6個月；非自願離職，非因個人過失被解雇；勞工保險被保險人；離職前投保滿1年（特殊情況6個月）；已向公立就業服務機構辦理求職登記,前往就業服務站辦理,前往就業服務站辦理,2026-05-09
job-training-allowance,職業訓練生活津貼,各地方政府,就業,$13047（每月（基本工資60%））,全國,一般民眾,0,0,一般,,,參加政府職業訓練期間可領生活津貼；非自願離職後參加職訓；報名公立或政府認可職訓機構；課程出席率80%以上,前往勞動部就業服務,前往勞動部就業服務,2026-05-09
early-employment-bonus,提早就業獎助,勞動部,就業,$30000（最高一次性獎助）,全國,一般民眾,0,0,一般,,,失業給付請領期間提早就業可領獎助金；正在請領失業給付；在失業給付期滿前重新就業；受雇期間連續達3個月以上,約2週,約2週,2026-05-09
cross-region-job,跨域就業補助,勞動部,就業,$30000（最高補助額）,全國,一般民眾,0,0,一般,,,跨縣市就業可申請交通及搬遷費補助；公立就業服務機構介紹就業；就業地與原住所距離30公里以上；連續就業達30天,https://www.taiwanjobs.gov.tw/,https://www.taiwanjobs.gov.tw/,2026-05-09
women-reemployment,婦女再就業計畫,勞動部,就業,$180000（最高訓練補助）,全國,一般民眾,30,65,一般,,,因育兒離職後重返職場女性可獲就業支援；女性，因育兒或家庭照顧離職；離職達6個月以上；年齡30-65歲,前往勞動部婦女再就業計畫,前往勞動部婦女再就業計畫,2026-05-09
senior-employment,中高齡就業促進,勞動部,就業,$30000（就業獎助）,全國,一般民眾,45,0,一般,,,45歲以上求職者就業補助方案；年滿45歲；失業中（非自願或自願皆可）；有就業意願,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
temp-work-subsidy,臨時工作津貼,勞動部,就業,$28590（每月（基本工資））,全國,弱勢族群,0,0,一般,,,就業困難者參與政府臨時工作可領津貼；失業且有就業困難；由就業服務站推介；非自願離職或特定弱勢身分,前往就業服務站辦理,前往就業服務站辦理,2026-05-09
employment-discrimination-relief,就業歧視申訴補助,勞動部,就業,（視情節而定）,全國,一般民眾,0,0,一般,,,遭受就業歧視可申訴並獲補償協助；在求職或工作中遭受歧視；依就業服務法第5條規定；提出申訴並進行調查,依調查情況,依調查情況,2026-05-09
elderly-pension,老年基本保證年金,各地方政府,長者,$4005（每月（基本保證年金））,全國,中高齡,65,0,一般,,,國民年金被保險人老年可領月退休金；年滿65歲；國民年金被保險人，繳費滿一定年限；未領取其他政府年金（勞保、軍公教）,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
elderly-living-allowance,中低收入老人生活津貼,各地方政府,長者,$7550（每月（中低收入））,全國,一般民眾,65,0,一般,,,未達低收入但生活困難的老人可申請生活補助；年滿65歲；家庭人口平均收入低於最低生活費1.5倍；未領取其他生活扶助；無一定資產限制以上財產,前往戶籍所在地社會局,前往戶籍所在地社會局,2026-05-09
long-term-care,長期照顧服務補助,各地方政府,長者,依評估等級（每月1萬至4萬）,全國,一般民眾,65,0,一般,,,失能老人或身障者居家照護費用補助；日常生活需他人協助；由照管中心評估失能等級；年滿65歲或領有身障手冊,撥打1966長照專線申請,撥打1966長照專線申請,2026-05-09
elderly-denture,老人假牙補助,各地方政府,長者,$7000（每顆最高補助）,全國,一般民眾,65,0,一般,,,65歲以上老人裝置假牙部分費用補助；年滿65歲；設籍且居住於申請縣市；口腔有缺牙需裝假牙；未在當年度領過本補助,向健保特約牙醫診所申請,向健保特約牙醫診所申請,2026-05-09
home-care-service,居家服務補助,各地方政府,長者,依收入（每小時最高190元，低收入免費）,全國,一般民眾,65,0,一般,,,失能老人居家生活照顧服務費用補助；日常生活功能受損需協助；年滿65歲或有特殊需求；由照管中心評估核可,撥打1966申請評估,撥打1966申請評估,2026-05-09
elderly-meal,老人餐飲服務,各地方政府,長者,$60（每餐最低自付額）,全國,一般民眾,65,0,一般,,,行動不便老人在家可申請送餐服務；年滿65歲，行動不便；獨居或白天無人照顧；由社會局核定資格,約2-4週,約2-4週,2026-05-09
elderly-medical,老人重病住院補助,各地方政府,長者,$20000（每次住院最高補助）,全國,一般民眾,65,0,低收入戶,,,低中收入老人住院醫療費用補助；年滿65歲；具低收入戶或中低收入戶資格；住院治療必要,前往戶籍所在地社會局,前往戶籍所在地社會局,2026-05-09
disability-living,身障生活補助,各地方政府,身心障礙,$4881（每月（中度障礙））,全國,身心障礙者,0,0,一般,,,持有身心障礙手冊者每月生活津貼；領有身心障礙手冊或證明；未超過所得及財產限制；實際居住於台灣,前往戶籍所在地社會局,前往戶籍所在地社會局,2026-05-09
assistive-device,輔具補助,各地方政府,身心障礙,依輔具類別（每件最高8萬）,全國,一般民眾,0,0,一般,,,身障者購置生活輔具費用補助（輪椅、助聽器等）；領有身心障礙手冊或證明；需要該輔具（由醫師或治療師評估）；在指定輔具評估機構完成評估,約1-2個月,約1-2個月,2026-05-09
disability-transport,身障交通補助,各地方政府,身心障礙,$2400（每月最高補助）,全國,身心障礙者,0,0,一般,,,身障者搭乘大眾交通工具或復康巴士補助；領有身心障礙手冊或證明；行動困難，需使用輔助交通工具；有就醫或出行需求,前往戶籍縣市社會局,前往戶籍縣市社會局,2026-05-09
disability-employment,身障就業補助,勞動部,身心障礙,$12000（每月雇主補助）,全國,身心障礙者,0,0,一般,,,雇主聘用身障者可獲補助，身障者就業亦有獎助；身障者：領有身心障礙手冊；雇主：合法登記之事業單位；雙方均有意願；身障者適合職務,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
disability-training,身障職業訓練,各地方政府,身心障礙,$13047（每月生活津貼）,全國,身心障礙者,0,0,一般,,,身障者參加職業訓練課程費用全免及生活津貼；領有身心障礙手冊或證明；有就業意願；通過職訓單位審核,前往勞動力發展署申請,前往勞動力發展署申請,2026-05-09
disability-medical,身障醫療補助,各地方政府,身心障礙,$12000（每年最高補助）,全國,身心障礙者,0,0,低收入戶,,,身障者醫療費用自付額補助；領有身心障礙手冊或證明；具低收入戶或中低收入戶資格；接受必要醫療,約1個月,約1個月,2026-05-09
disability-housing,身障住宅無障礙改善補助,內政部國土管理署,身心障礙,$100000（每戶最高補助）,全國,身心障礙者,0,0,一般,自有住宅,,身障者住宅增設無障礙設施費用補助；領有身心障礙手冊或證明；無障礙改善需求（如設置扶手、斜坡、電梯）；自有住宅或租屋（房東同意）；由縣市評估確認需求,約2-3個月,約2-3個月,2026-05-09
low-income-living,低收入戶生活扶助,各地方政府,低收入,$9829（每人每月最低生活費）,全國,一般民眾,0,0,低收入戶,,,政府每月提供最低生活費保障（第一類）；通過低收入戶資格審查；家庭總收入低於最低生活費基準；財產未超過上限；設籍於申請縣市,約1個月,約1個月,2026-05-09
emergency-relief,急難救助金,各地方政府,低收入,$60000（每次最高補助）,全國,一般民眾,0,0,一般,,,突發緊急困境者（如家計負擔者死亡、重傷）可申請；遭遇急難事故（失業、重病、天災等）；無法度過急難期間；情況緊急,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
medical-assistance,弱勢醫療補助,各地方政府,低收入,$30000（每年最高補助）,全國,一般民眾,0,0,低收入戶,,,低收入及中低收入者醫療費用補助；低收入戶或中低收入戶；需要醫療治療；費用超過負擔能力,前往戶籍縣市社會局,前往戶籍縣市社會局,2026-05-09
food-bank,食物銀行物資申請,各地方政府,低收入,依物資而定（每月一次物資包）,全國,弱勢族群,0,0,中低收入戶,,,低收入或弱勢家庭可定期領取食物及生活物資；具弱勢身分（低收入、中低收入、身障、單親等）；設籍或居住於服務區域；由社工評估核定,即時服務,即時服務,2026-05-09
education-assistance,弱勢教育補助,教育部,低收入,$10000（每學年最高補助）,全國,一般民眾,0,0,低收入戶,,,低收入家庭學童學費及用品費補助；就讀國中小或高中職；具低收入戶或中低收入戶資格；設籍於申請縣市,約2-4週,約2-4週,2026-05-09
utility-subsidy,水電費補助,各地方政府,低收入,$2400（每年最高補助）,全國,一般民眾,0,0,低收入戶,,,低收入戶及弱勢家庭水費電費補助；具低收入戶或中低收入戶資格；或身障者；或老人獨居者,前往社會局或台電台水服務所,前往社會局或台電台水服務所,2026-05-09
funeral-assistance,喪葬補助,各地方政府,低收入,$20000（每次最高補助）,全國,一般民眾,0,0,低收入戶,,,低收入戶家庭成員死亡可申請喪葬費補助；低收入戶家庭成員死亡；設籍於申請縣市；在申請期限內提出,前往戶籍縣市社會局或區公所,前往戶籍縣市社會局或區公所,2026-05-09
youth-startup-loan,青年創業貸款,各地方政府,創業,$2000000（最高貸款金額）,全國,青年,20,45,一般,,,45歲以下青年創業最高200萬元低利貸款；年齡20-45歲；有具體創業計畫；設立或計畫設立登記公司行號；通過銀行信用審核,約1-2個月,約1-2個月,2026-05-09
phoenix-startup,微型創業鳳凰計畫,勞動部,創業,$1000000（最高貸款金額）,全國,弱勢族群,20,65,一般,,,弱勢族群（失業婦女等）創業最高100萬低利貸款；年齡20-65歲；失業中或弱勢族群（婦女、中高齡等）；計畫自行創業；完成政府指定創業研習課程,約1-2個月,約1-2個月,2026-05-09
social-enterprise-subsidy,社會企業補助,各地方政府,創業,$1500000（最高補助金額）,全國,一般民眾,0,0,一般,,,具社會影響力創業項目可申請政府補助；成立登記的公司或社團法人；有明確社會使命；計畫可量化社會影響；具自籌財源能力,各部會均有社創補助，教育部、衛福部等亦有,各部會均有社創補助，教育部、衛福部等亦有,2026-05-09
indigenous-startup,原住民創業補助,各地方政府,創業,$1500000（最高貸款金額）,全國,一般民眾,0,0,一般,,,原住民族人創業可申請貸款及補助；具原住民族身分；計畫從事合法事業；設立或計畫設立登記；具體創業計畫,約1-2個月,約1-2個月,2026-05-09
women-startup,婦女創業補助,各地方政府,創業,$1000000（最高貸款金額）,全國,一般民眾,20,65,一般,,,婦女創業可享低利貸款及免費輔導；女性；年齡20-65歲；計畫創業或已創業未滿3年；有具體商業計畫,約1-2個月,約1-2個月,2026-05-09
rural-startup,農村青年創業補助,農業部,創業,$1200000（最高補助及貸款）,全國,青年,20,45,一般,,,返鄉務農或農業創業青年可申請補助；年齡20-45歲；計畫從事農業相關事業；在農村地區設立；具農業背景或培訓計畫,約2-3個月,約2-3個月,2026-05-09
tech-startup,科技新創補助,各地方政府,創業,$3000000（最高補助金額）,全國,一般民眾,0,0,一般,,,科技新創公司可申請政府研發補助及加速器；成立未滿5年新創公司；具技術創新性；有市場驗證計畫；具體產品/服務原型,約3個月,約3個月,2026-05-09
sme-loan,中小企業信用保證貸款,各地方政府,企業,$15000000（最高保證金額）,全國,一般民眾,0,0,一般,,,中小企業向銀行貸款可申請政府信用保證；依法設立之公司行號或有限合夥；符合中小企業定義（製造業資本額2億以下等）；有具體資金用途；通過往來銀行審核,約2-4週,約2-4週,2026-05-09
rd-subsidy,中小企業研發補助（SBIR）,各地方政府,企業,$2500000（每案最高補助）,全國,一般民眾,0,0,一般,,,中小企業研發費用最高50%補助；依法設立之公司行號；員工200人以下（服務業100人以下）；有明確研發計畫；非重複補助,約3個月,約3個月,2026-05-09
digital-transform,數位轉型補助,各地方政府,企業,$500000（最高補助50%）,全國,一般民眾,0,0,一般,,,中小企業導入數位工具（ERP、電商等）可獲補助；中小企業（員工200人以下）；導入經認證之數位服務；具體導入計畫；未重複申請同項補助,約1-2個月,約1-2個月,2026-05-09
energy-saving-enterprise,節能設備補助（企業）,各地方政府,企業,$500000（最高補助30%）,全國,一般民眾,0,0,一般,,,企業汰換老舊高耗能設備可申請補助；依法設立之公司行號；設備汰換可顯著節能；由能源局認可評估機構確認；未重複申請其他節能補助,約2-3個月,約2-3個月,2026-05-09
export-subsidy,出口拓銷補助,各地方政府,企業,$200000（每年最高補助）,全國,一般民眾,0,0,一般,,,中小企業參與國際展覽或開拓海外市場費用補助；中小企業；有出口意圖或計畫；參與海外展覽或行銷活動,約1個月,約1個月,2026-05-09
employment-incentive-enterprise,僱用特定對象補助（企業）,勞動部,企業,$36000（每人每月最高）,全國,一般民眾,0,0,一般,,,企業聘用長期失業、身障、中高齡等特定對象可獲補助；依法設立之公司行號；聘用特定對象（失業逾6個月、身障、45歲以上）；連續雇用達3個月以上；薪資不低於基本工資,約1個月,約1個月,2026-05-09
green-energy,綠能發電補助（太陽能）,各地方政府,企業,$500000（最高設備補助）,全國,一般民眾,0,0,一般,,,企業設置太陽能發電設備可獲補助及優惠躉購；依法設立之公司行號或自然人；建築物或土地產權明確；設備容量符合規定；通過電力公司審核,約3-6個月,約3-6個月,2026-05-09
smart-manufacturing,智慧製造補助,各地方政府,企業,$5000000（最高補助50%）,全國,一般民眾,0,0,一般,,,製造業導入智慧製造技術（AI、自動化）可獲補助；製造業中小企業；導入智慧製造解決方案；具體改善計畫及預期效益；未重複申請同項補助,約2-3個月,約2-3個月,2026-05-09
rent-central,中央租金補貼,內政部,租屋住宅,54000,全台,一般民眾,18,,家庭年收入符合規定,需租屋,,"年滿18歲、無自有住宅、租屋並設籍，每年5-8月開放申請，台北最高6,000元/月",https://rental.cpami.gov.tw/,https://rental.cpami.gov.tw/,2026-05-09
rent-packrent,包租代管租金補貼,內政部,租屋住宅,3600,全台,一般民眾,18,,符合所得限制,需租屋,,"透過政府認可包租代管業者承租，每月最高3,600元，流程較簡便",https://www.coolrent.org.tw/,https://www.coolrent.org.tw/,2026-05-09
rent-youth,青年安心成家租金補貼,內政部,租屋住宅,6000,全台,青年,18,40,符合所得限制,需租屋,,"18-40歲無殼族，無自有住宅且租屋設籍，每月最高6,000元",https://rental.cpami.gov.tw/,https://rental.cpami.gov.tw/,2026-05-09
rent-social-housing,社會住宅申請,國家住宅及都市更新中心,租屋住宅,依地區,全台,弱勢優先,18,,符合所得限制,無自有住宅,,政府興建平價住宅，租金低於市價20-30%，採抽籤制，弱勢族群有加權資格,https://www.socialhousing.gov.tw/,https://www.socialhousing.gov.tw/,2026-05-09
rent-single-parent,單親家庭租屋補助,各縣市社會局,租屋住宅,4500,全台,單親家長,,,符合所得限制,需租屋,單親家庭,單親家長帶未成年子女承租住宅可申請額外補助，各縣市另有加碼,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
rent-indigenous,原住民租屋補助,原住民族委員會,租屋住宅,5000,全台,原住民,,,,需租屋,,"具原住民族身分在都市地區租屋，每月最高5,000元，可與中央補貼合併",https://www.apc.gov.tw/,https://www.apc.gov.tw/,2026-05-09
rent-elder,老人租屋補助,各縣市社會局,租屋住宅,3000,全台,老年人,65,,符合所得限制,需租屋,,65歲以上老人承租住宅可獲補助，各縣市標準不一,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
rent-disability,身障者租屋補助,各縣市社會局,租屋住宅,4000,全台,身心障礙者,,,符合所得限制,需租屋,,持有效身心障礙手冊者可申請租金補貼，障礙程度較重者補貼較高,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
rent-lowincome,低收入戶住宅補助,各縣市社會局,租屋住宅,5500,全台,低收入戶,,,低收入戶,,,低收入戶承租或修繕住宅可獲補助，可優先申請社會住宅,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
rent-repair,住宅修繕補助,各縣市政府,租屋住宅,100000,全台,低收入戶,,,低收入或中低收入戶,自有住宅,,弱勢家庭自有住宅修繕補助，改善居住安全，每戶最高10萬元,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
rent-newlywed-bonus,婚育租屋加碼,內政部,租屋住宅,36000,全台,已婚青年,20,40,,需租屋,已婚未滿2年,"2026年新制：結婚未滿2年承租者租金補貼加碼20%，每年最多多領36,000元",https://rental.cpami.gov.tw/,https://rental.cpami.gov.tw/,2026-05-09
rent-hazard-rebuild,危老建築重建補助,內政部,租屋住宅,依規模,全台,屋主,,,,,,屋齡逾30年且結構危險建築，申請重建可獲容積獎勵及費用補助,https://www.urdd.gov.tw/,https://www.urdd.gov.tw/,2026-05-09
rent-house-tax-own,房屋稅自用住宅減免,各縣市稅務局,租屋住宅,依房屋稅,全台,屋主,,,,自用住宅,,自用住宅稅率1%，非自住最高4.8%，向稅務局登記即享優惠,https://www.ntbt.gov.tw/,https://www.ntbt.gov.tw/,2026-05-09
rent-land-tax-own,地價稅自用住宅減免,各縣市稅務局,租屋住宅,依地價稅,全台,屋主,,,,自用住宅,,自用住宅地價稅率2‰，一般用地10‰，登記即可大幅節稅,https://www.ntbt.gov.tw/,https://www.ntbt.gov.tw/,2026-05-09
rent-public-landlord,公益出租人稅賦減免,各縣市稅務局,租屋住宅,依稅額,全台,房東,,,,出租,,登記公益出租人後房屋稅及地價稅均降至住家用稅率，每年可省數萬元,https://www.ntbt.gov.tw/,https://www.ntbt.gov.tw/,2026-05-09
rent-old-energy,老屋節能改造補助,經濟部能源署,租屋住宅,100000,全台,屋主,,,,,,屋齡15年以上申請節能改造補助，含外牆隔熱、節能窗、LED照明等,https://www.moea.gov.tw/,https://www.moea.gov.tw/,2026-05-09
rent-first-home,首購優惠房貸,財政部金管會,租屋住宅,依房價,全台,首購族,20,,,首次購屋,,無自有住宅首次購屋，可申請1.6%以下優惠利率房貸,https://www.banking.gov.tw/,https://www.banking.gov.tw/,2026-05-09
rent-newborn-housing,生育後租屋補貼加碼,內政部,租屋住宅,72000,全台,已婚有子女,,,,需租屋,有新生兒,"2026年新制：生育後租金補貼再加碼，第一年最高可領72,000元",https://rental.cpami.gov.tw/,https://rental.cpami.gov.tw/,2026-05-09
rent-veteran,退伍軍人住宅補助,國防部,租屋住宅,依計畫,全台,退伍軍人,,,,,,服役期間及退伍後可申請軍眷住宅或購宅優惠貸款,https://www.mnd.gov.tw/,https://www.mnd.gov.tw/,2026-05-09
rent-urban-renewal,都市更新補助,內政部,租屋住宅,依計畫,全台,屋主,,,,,,老舊建物參與都市更新可獲容積獎勵及稅賦減免,https://www.urdd.gov.tw/,https://www.urdd.gov.tw/,2026-05-09
child-birth-central,生育給付（中央PLUS）,勞保局,育兒生育,100000,全台,勞保被保險人,,,,,,2026年新制：每胎保底10萬元，不分投保薪資高低,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
child-birth-taipei,台北市生育獎勵金,台北市政府,育兒生育,20000,台北市,設籍台北市,,,,,,設籍台北市且生育者每胎2萬元獎勵金,https://www.gov.taipei/,https://www.gov.taipei/,2026-05-09
child-birth-taichung,台中市生育津貼,台中市政府,育兒生育,20000,台中市,設籍台中市,,,,,,設籍台中市連續滿半年生育者每胎2萬元,https://www.taichung.gov.tw/,https://www.taichung.gov.tw/,2026-05-09
child-birth-kaohsiung,高雄市生育獎勵,高雄市政府,育兒生育,10000,高雄市,設籍高雄市,,,,,,設籍高雄市生育者每胎1萬元,https://www.kcg.gov.tw/,https://www.kcg.gov.tw/,2026-05-09
child-birth-tainan,台南市生育獎勵,台南市政府,育兒生育,10000,台南市,設籍台南市,,,,,,設籍台南市生育者每胎1萬元,https://www.tainan.gov.tw/,https://www.tainan.gov.tw/,2026-05-09
child-birth-taoyuan,桃園市生育獎勵,桃園市政府,育兒生育,10000,桃園市,設籍桃園市,,,,,,設籍桃園市生育者每胎1萬元,https://www.tycg.gov.tw/,https://www.tycg.gov.tw/,2026-05-09
child-birth-ntpc,新北市生育獎勵,新北市政府,育兒生育,10000,新北市,設籍新北市,,,,,,設籍新北市生育者每胎1萬元,https://www.ntpc.gov.tw/,https://www.ntpc.gov.tw/,2026-05-09
child-birth-hsinchu,新竹市生育獎勵,新竹市政府,育兒生育,30000,新竹市,設籍新竹市,,,,,,新竹市第三胎以上最高3萬元,https://www.hccg.gov.tw/,https://www.hccg.gov.tw/,2026-05-09
child-birth-hualien,花蓮縣生育津貼,花蓮縣政府,育兒生育,20000,花蓮縣,設籍花蓮縣,,,,,,偏遠地區加碼，每胎2萬元,https://www.hl.gov.tw/,https://www.hl.gov.tw/,2026-05-09
child-birth-taitung,台東縣生育獎勵,台東縣政府,育兒生育,20000,台東縣,設籍台東縣,,,,,,偏遠地區加碼，每胎2萬元,https://www.taitung.gov.tw/,https://www.taitung.gov.tw/,2026-05-09
child-parental-leave,育嬰留職停薪津貼,勞保局,育兒生育,20000,全台,勞保被保險人,,,,,有子女（0-3歲）,父母各可留停最長6個月，領投保薪資60%，合計最長12個月,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
child-nursery-public,公共化托育補助（0-2歲）,衛生福利部,育兒生育,10000,全台,一般民眾,,,,,有子女（0-2歲）,"子女0-2歲送托公共或準公共托育機構，自付約3,000元/月，政府補足差額",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
child-nursery-self,育兒津貼（自行照顧）,衛生福利部,育兒生育,5000,全台,一般民眾,,,,,有子女（0-2歲）,"未送托者親自照顧每月5,000元，與托育補助二擇一",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
child-kindergarten,幼兒園學費補助（2.5-6歲）,教育部,育兒生育,5000,全台,一般民眾,,,,,有子女（2.5-6歲）,"公立幼兒園近乎免費，準公共化自付約3,000元/月，低收入戶全免",https://www.ece.moe.edu.tw/,https://www.ece.moe.edu.tw/,2026-05-09
child-afterschool,課後照顧補助,教育部,育兒生育,2000,全台,一般民眾,,,,,有國小子女,國小1-6年級課後托育費用補助，低收入戶優先全額補助,https://www.edu.tw/,https://www.edu.tw/,2026-05-09
child-relative-care,親屬托育補助,衛生福利部,育兒生育,3000,全台,一般民眾,,,,,有子女（0-2歲）,"委託3親等內親屬照顧，親屬完成托育訓練後每月領3,000元",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
child-special-needs,發展遲緩兒童療育補助,衛生福利部,育兒生育,1200,全台,一般民眾,,6,,,有發展遲緩子女,0-6歲發展遲緩兒童療育費用及交通補助，撥打1925申請早療,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
child-second-plus,第二胎以上縣市獎勵,各縣市政府,育兒生育,30000,全台,設籍各縣市,,,,,第二胎以上,各縣市第二胎以上額外獎勵，各地金額1萬到20萬不等,https://www.gov.tw/,https://www.gov.tw/,2026-05-09
child-cwid,兒童未來教育及發展帳戶,衛生福利部,育兒生育,15000,全台,低收入戶,,,低收入或中低收入戶,,有子女,"政府每月存1,250元，家長配對同額，子女18歲後可領取",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
child-nhi-dental,兒童牙齒塗氟補助,健保署,育兒生育,0,全台,一般民眾,,6,,,有子女（0-6歲）,6歲以下每3-6個月免費塗氟，在健保特約牙科申辦,https://www.nhi.gov.tw/,https://www.nhi.gov.tw/,2026-05-09
child-vaccine,兒童公費疫苗,衛生福利部,育兒生育,0,全台,一般民眾,,6,,,有子女,BCG、B肝、五合一、麻疹等多種疫苗全部公費免費,https://www.cdc.gov.tw/,https://www.cdc.gov.tw/,2026-05-09
